tag_id,date_time,dive_id,dive_phase,depth
Snake_1,2023-06-09T00:00:01Z,0,X,-0
Snake_1,2023-06-09T00:00:03Z,0,X,-0
Snake_1,2023-06-09T00:00:05Z,0,X,-0
Snake_1,2023-06-09T00:00:07Z,0,X,-0
Snake_1,2023-06-09T00:00:09Z,0,X,-0
Snake_1,2023-06-09T00:00:11Z,0,X,-0.2
Snake_1,2023-06-09T00:00:13Z,0,X,-0
Snake_1,2023-06-09T00:00:15Z,0,X,-0
Snake_1,2023-06-09T00:00:17Z,0,X,-0
Snake_1,2023-06-09T00:00:19Z,0,X,-0
Snake_1,2023-06-09T00:00:21Z,0,X,-0
Snake_1,2023-06-09T00:00:23Z,0,X,-0
Snake_1,2023-06-09T00:00:25Z,0,X,-0
Snake_1,2023-06-09T00:00:26Z,0,X,-0
Snake_1,2023-06-09T00:00:28Z,0,X,-0
Snake_1,2023-06-09T00:00:30Z,0,X,-0
Snake_1,2023-06-09T00:00:32Z,0,X,-0
Snake_1,2023-06-09T00:00:34Z,0,X,-0.2
Snake_1,2023-06-09T00:00:36Z,0,X,-0
Snake_1,2023-06-09T00:00:38Z,0,X,-0
Snake_1,2023-06-09T00:00:40Z,0,X,-0.3
Snake_1,2023-06-09T00:00:42Z,0,X,-0.2
Snake_1,2023-06-09T00:00:44Z,0,X,-0.2
Snake_1,2023-06-09T00:00:46Z,0,X,-0.1
Snake_1,2023-06-09T00:00:48Z,0,X,-0.3
Snake_1,2023-06-09T00:00:50Z,0,X,-0.3
Snake_1,2023-06-09T00:00:52Z,0,X,-0.2
Snake_1,2023-06-09T00:00:54Z,0,X,-0.1
Snake_1,2023-06-09T00:00:56Z,0,X,-0.2
Snake_1,2023-06-09T00:00:58Z,0,X,-0.1
Snake_1,2023-06-09T00:01:00Z,0,X,-0.2
Snake_1,2023-06-09T00:01:02Z,0,X,-0.1
Snake_1,2023-06-09T00:01:04Z,0,X,-0.3
Snake_1,2023-06-09T00:01:06Z,1,D,-1.1
Snake_1,2023-06-09T00:01:12Z,1,D,-3.1
Snake_1,2023-06-09T00:01:14Z,1,D,-3.8
Snake_1,2023-06-09T00:01:16Z,1,D,-4.5
Snake_1,2023-06-09T00:01:18Z,1,D,-4.9
Snake_1,2023-06-09T00:01:20Z,1,D,-5.7
Snake_1,2023-06-09T00:01:21Z,1,D,-6.5
Snake_1,2023-06-09T00:01:29Z,1,D,-9.6
Snake_1,2023-06-09T00:01:31Z,1,D,-10.1
Snake_1,2023-06-09T00:01:32Z,1,D,-10.7
Snake_1,2023-06-09T00:01:34Z,1,D,-11.3
Snake_1,2023-06-09T00:01:36Z,1,D,-11.5
Snake_1,2023-06-09T00:01:38Z,1,D,-12
Snake_1,2023-06-09T00:01:39Z,1,D,-12.3
Snake_1,2023-06-09T00:01:41Z,1,D,-12.9
Snake_1,2023-06-09T00:01:48Z,1,D,-14.6
Snake_1,2023-06-09T00:01:53Z,1,D,-15.7
Snake_1,2023-06-09T00:01:55Z,1,D,-16.1
Snake_1,2023-06-09T00:01:56Z,1,D,-16.5
Snake_1,2023-06-09T00:01:58Z,1,D,-17.3
Snake_1,2023-06-09T00:02:00Z,1,D,-17.9
Snake_1,2023-06-09T00:02:04Z,1,D,-20
Snake_1,2023-06-09T00:02:06Z,1,D,-20.4
Snake_1,2023-06-09T00:02:07Z,1,D,-20.9
Snake_1,2023-06-09T00:02:09Z,1,B,-21.4
Snake_1,2023-06-09T00:02:11Z,1,B,-21.3
Snake_1,2023-06-09T00:02:12Z,1,B,-21.5
Snake_1,2023-06-09T00:02:17Z,1,B,-21.5
Snake_1,2023-06-09T00:02:18Z,1,B,-21.5
Snake_1,2023-06-09T00:02:23Z,1,B,-21.4
Snake_1,2023-06-09T00:02:25Z,1,B,-21.4
Snake_1,2023-06-09T00:02:26Z,1,B,-21.3
Snake_1,2023-06-09T00:02:28Z,1,B,-21.5
Snake_1,2023-06-09T00:02:29Z,1,B,-21.5
Snake_1,2023-06-09T00:02:31Z,1,B,-21.3
Snake_1,2023-06-09T00:02:32Z,1,B,-21.5
Snake_1,2023-06-09T00:02:43Z,1,B,-22.9
Snake_1,2023-06-09T00:02:46Z,1,B,-21.5
Snake_1,2023-06-09T00:02:50Z,1,B,-21.6
Snake_1,2023-06-09T00:02:51Z,1,B,-21.5
Snake_1,2023-06-09T00:02:53Z,1,B,-21.4
Snake_1,2023-06-09T00:02:54Z,1,B,-21.5
Snake_1,2023-06-09T00:02:56Z,1,B,-21.4
Snake_1,2023-06-09T00:02:57Z,1,B,-21.5
Snake_1,2023-06-09T00:02:59Z,1,B,-21.5
Snake_1,2023-06-09T00:03:01Z,1,B,-21.4
Snake_1,2023-06-09T00:03:02Z,1,B,-21.6
Snake_1,2023-06-09T00:03:04Z,1,B,-21.3
Snake_1,2023-06-09T00:03:13Z,1,B,-21.5
Snake_1,2023-06-09T00:03:15Z,1,B,-21.4
Snake_1,2023-06-09T00:03:16Z,1,B,-21.6
Snake_1,2023-06-09T00:03:18Z,1,B,-21.4
Snake_1,2023-06-09T00:03:21Z,1,B,-21.6
Snake_1,2023-06-09T00:03:25Z,1,B,-21.4
Snake_1,2023-06-09T00:03:27Z,1,B,-21.5
Snake_1,2023-06-09T00:03:29Z,1,B,-21.4
Snake_1,2023-06-09T00:03:30Z,1,B,-21.4
Snake_1,2023-06-09T00:03:32Z,1,B,-21.4
Snake_1,2023-06-09T00:03:33Z,1,B,-21.4
Snake_1,2023-06-09T00:03:35Z,1,B,-21.5
Snake_1,2023-06-09T00:03:36Z,1,B,-21.5
Snake_1,2023-06-09T00:03:38Z,1,B,-21.6
Snake_1,2023-06-09T00:03:40Z,1,B,-21.5
Snake_1,2023-06-09T00:03:44Z,1,B,-21.5
Snake_1,2023-06-09T00:03:46Z,1,B,-21.3
Snake_1,2023-06-09T00:03:49Z,1,B,-21.5
Snake_1,2023-06-09T00:03:50Z,1,B,-21.5
Snake_1,2023-06-09T00:03:52Z,1,B,-21.5
Snake_1,2023-06-09T00:03:54Z,1,B,-21.4
Snake_1,2023-06-09T00:03:55Z,1,B,-21.5
Snake_1,2023-06-09T00:03:57Z,1,B,-21.6
Snake_1,2023-06-09T00:04:00Z,1,M,-21.6
Snake_1,2023-06-09T00:04:03Z,1,M,-21.3
Snake_1,2023-06-09T00:04:04Z,1,M,-21.3
Snake_1,2023-06-09T00:04:06Z,1,M,-21.4
Snake_1,2023-06-09T00:04:08Z,1,M,-21.2
Snake_1,2023-06-09T00:04:09Z,1,M,-21.2
Snake_1,2023-06-09T00:04:11Z,1,M,-21
Snake_1,2023-06-09T00:04:12Z,1,M,-20.5
Snake_1,2023-06-09T00:04:14Z,1,M,-20.9
